154	 8	 1
184	 9	 1
314	 15	 1
614	 34	 2
1586	 119	 3
1529	 163	 2
1764	 164	 4
2155	 214	 6
2840	 245	 6
2011	 195	 7
2140	 229	 2
1870	 132	 3
2094	 172	 2
2550	 141	 4
2102	 157	 1
1744	 101	 5
2042	 132	 3
2285	 129	 2
1726	 96	 1
1835	 85	 2
2160	 137	 6
2430	 162	 7
1966	 146	 1
1834	 136	 4
2171	 149	 3
1581	 128	 2
1792	 127	 4
1865	 154	 4
1834	 134	 3
1305	 90	 2
1672	 154	 3
1515	 126	 3
1617	 217	 3
1419	 95	 2
1416	 91	 3
2050	 183	 5
1831	 154	 2
1808	 157	 2
1639	 180	 3
1806	 180	 2
1616	 174	 3
1809	 121	 6
1369	 145	 2
1738	 162	 2
1595	 137	 1
1547	 138	 2
1820	 133	 1
1407	 138	 1
968	 150	 1
1627	 161	 3
